main_category_name,sub_category_name,ranking,title,orig_price,discount_price,discount_percent
ALL,ALL,1,[메가박스](유니버스클럽 전용 쿠폰적용가 5천원) 메가박스 일반예매권 2D-주중/주말,15000,15000,0
ALL,ALL,2,[마이비]1.8만초특가) 마이비 얼룩제거제 300ml 리필 6팩 외 /삶기세제/건조기선유유연제 모임즌,66330,19900,69
ALL,ALL,3,[코디]블루 3겹 데코 화장지 27m 30롤 3팩 휴지 (쿠폰가 29540),42200,33200,21
ALL,ALL,4,[동원에프앤비]동원 라이트 스탠다드 참치 150g 원터치 12개,32500,26800,17
ALL,ALL,5,수산곳간 크리스피 빠삭어포 8종 럭키박스 초특가 묶음 할인 (단하루 46%),26900,26900,0
ALL,ALL,6,3년 숙성 하동 황매실원액 1L 2병 매실액기스 매실청,15000,15000,0
ALL,ALL,7,[구글플레이]기프트코드 10만원 / 구글 기프트카드,100000,95500,4
ALL,ALL,8,[센텔리안24]12%+10% 중복쿠폰 마데카크림 액티브스킨포뮬러 50ml 3개 + 15ml 1개,74080,37040,50
ALL,ALL,9,[CGV](CGV) 1월 G마켓 예매권(2D),15000,10600,29
ALL,ALL,10,[아이러브베베]레이온100% 75g시그니앙 더블루 72매 20팩 캡형 엠보 아기물티슈,26200,26200,0
ALL,ALL,11,고메 소바바 치킨 소이허니 순살 375gX5개,26500,23590,10
ALL,ALL,12,(12+10%) 은침 귀걸이 3천원대 균일가 외 목걸이/반지/팔찌 외,13000,3900,70
ALL,ALL,13,[햇반]햇반 210g x24입,29500,26550,10
ALL,ALL,14,[유한킴벌리]크리넥스 3겹 천연펄프 데코 소프트 화장지 34M-24롤X2팩+마스크4P(랜덤),38900,37740,2
ALL,ALL,15,[구글플레이]기프트코드 5만원 / 구글 기프트카드,50000,47750,4
ALL,ALL,16,옛날과자 전통 고급종합전병 1kg+1kg,14700,14700,0
ALL,ALL,17,[맥퀸뉴욕]맥퀸뉴욕 76종 베스트셀러 브랜드 모음전 4만개 재입고 3시 당일출고 Since2013,22000,9900,55
ALL,ALL,18,[구글플레이]기프트코드 3만원 / 구글 기프트카드,30000,28650,4
